AREA,SRC_TYPE,CATEGORY,SUBCATEGORY,POLLUTANT,SEASON,CONTROL_TYPE,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY PASSENGER (LDA),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,455.96248687,418.27125883,399.2357654,361.01438631,322.56343323,280.34487291,247.12249438,216.52500198,187.132209,171.24236028,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY TRUCKS - 1 (LDT1),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,127.17669017,110.79465386,97.99594407,89.35585001,77.6403096,70.03018427,63.24001978,56.03019475,48.07666088,42.57229496,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT DUTY TRUCKS - 2 (LDT2),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,221.97120947,211.09911662,201.95028528,195.58224189,176.12791712,154.35593757,136.48912601,120.92519826,106.99997417,99.09914863,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM DUTY TRUCKS (MDV),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,113.17448391,115.33779575,122.17702919,125.68614684,119.47621472,112.33929417,102.35828016,93.04428189,83.95312268,78.22460836,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY GAS TRUCKS - 1 (LHDGT1),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,28.2700288,26.86936533,26.41181991,25.78921746,24.58997595,22.78535604,21.10454077,19.42753826,17.29256045,15.68700562,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY GAS TRUCKS - 2 (LHDGT2),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,4.00665828,3.63739101,3.15847523,2.93853044,2.57519258,2.27663419,2.16402175,1.79287054,1.89808334,1.72663091,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,MEDIUM HEAVY DUTY GAS TRUCKS (MHDGT),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,13.83377238,12.26441094,11.34526837,11.20020555,10.16333701,9.39208654,8.51664042,8.03198239,6.86755059,5.92021621,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,HEAVY HEAVY DUTY GAS TRUCKS (HHDGT),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,9.40686103,7.7033798,6.42860619,5.6769395,5.18483979,3.8846031,3.35152111,2.83953882,2.62881826,2.37882627,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY DIESEL TRUCKS - 1 (LHDDT1),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,49.97173683,57.6393218,66.42928367,77.0310671,83.47436657,91.67111471,95.24653169,91.3149644,85.8246338,80.43231192,v1.03_RF3084
STATEWIDE,MOBILE,ON-ROAD MOTOR VEHICLES,LIGHT HEAVY DUTY DIESEL TRUCKS - 2 (LHDDT2),NOX,ANNUAL AVERAGE,GROWN AND CONTROLLED,13.79403285,14.77442335,16.07797249,17.38957618,17.62222725,20.23530802,22.69936293,22.1355459,21.51625582,19.96523459,v1.03_RF3084
